"path_count","point_count","id","label","s_name","s_id"
5,883,1,car,Radu,1663053145814
4,596,2,fish,Radu,1663053145814
8,571,3,house,Radu,1663053145814
3,575,4,tree,Radu,1663053145814
5,586,5,bicycle,Radu,1663053145814
6,1214,6,guitar,Radu,1663053145814
5,527,7,pencil,Radu,1663053145814
3,588,8,clock,Radu,1663053145814
7,715,9,car,Radu,1663307917621
3,361,10,fish,Radu,1663307917621
7,455,11,house,Radu,1663307917621
3,520,12,tree,Radu,1663307917621
6,500,13,bicycle,Radu,1663307917621
6,1034,14,guitar,Radu,1663307917621
5,357,15,pencil,Radu,1663307917621
4,371,16,clock,Radu,1663307917621
7,658,17,car,Yasin,1663855255706
11,387,18,fish,Yasin,1663855255706
12,538,19,house,Yasin,1663855255706
13,332,20,tree,Yasin,1663855255706
9,407,21,bicycle,Yasin,1663855255706
17,587,22,guitar,Yasin,1663855255706
10,396,23,pencil,Yasin,1663855255706
5,184,24,clock,Yasin,1663855255706
19,799,25,car,Biongar,1663855324959
24,634,26,fish,Biongar,1663855324959
17,612,27,house,Biongar,1663855324959
5,368,28,tree,Biongar,1663855324959
27,955,29,bicycle,Biongar,1663855324959
7,669,30,guitar,Biongar,1663855324959
6,245,31,pencil,Biongar,1663855324959
24,784,32,clock,Biongar,1663855324959
510,510,33,car,Jam Bandit,1663855328187
296,296,34,fish,Jam Bandit,1663855328187
7,521,35,house,Jam Bandit,1663855328187
4,345,36,tree,Jam Bandit,1663855328187
25,548,37,bicycle,Jam Bandit,1663855328187
16,874,38,guitar,Jam Bandit,1663855328187
7,353,39,pencil,Jam Bandit,1663855328187
41,735,40,clock,Jam Bandit,1663855328187
18,748,41,car,Jackferson,1663855329877
16,622,42,fish,Jackferson,1663855329877
23,864,43,house,Jackferson,1663855329877
6,910,44,tree,Jackferson,1663855329877
22,847,45,bicycle,Jackferson,1663855329877
21,1659,46,guitar,Jackferson,1663855329877
16,467,47,pencil,Jackferson,1663855329877
69,1588,48,clock,Jackferson,1663855329877
7,1869,49,car,Beau,1663855369903
4,1013,50,fish,Beau,1663855369903
7,1227,51,house,Beau,1663855369903
5,1738,52,tree,Beau,1663855369903
8,1248,53,bicycle,Beau,1663855369903
14,2010,54,guitar,Beau,1663855369903
9,839,55,pencil,Beau,1663855369903
5,710,56,clock,Beau,1663855369903
7,726,57,car,Martin Ahumada,1663855398913
3,324,58,fish,Martin Ahumada,1663855398913
10,449,59,house,Martin Ahumada,1663855398913
6,235,60,tree,Martin Ahumada,1663855398913
11,341,61,bicycle,Martin Ahumada,1663855398913
9,482,62,guitar,Martin Ahumada,1663855398913
6,314,63,pencil,Martin Ahumada,1663855398913
19,298,64,clock,Martin Ahumada,1663855398913
8,596,65,car,Dipesh ,1663855413275
8,615,66,fish,Dipesh ,1663855413275
5,334,67,house,Dipesh ,1663855413275
4,157,68,tree,Dipesh ,1663855413275
6,249,69,bicycle,Dipesh ,1663855413275
8,668,70,guitar,Dipesh ,1663855413275
4,449,71,pencil,Dipesh ,1663855413275
10,212,72,clock,Dipesh ,1663855413275
4,516,73,car,Henrique Zucareli,1663855426831
3,142,74,fish,Henrique Zucareli,1663855426831
